StateID,Query,Prct
49,girl scout cookies,20
49,pumpkin chocolate chip cookies,17
49,cake mix cookies,15
49,clear cookies,12
49,chocolate chip oatmeal cookies,10
49,word cookies,8
49,christmas cookies,8
49,gluten free cookies,6
49,crumbl cookies,5
49,best chocolate chip cookies,5
50,chocolate chip cookies,72
50,sugar cookies,50
50,oatmeal cookies,47
50,peanut butter cookies,42
50,no bake cookies,31
50,girl scout cookies,22
50,christmas cookies,18
50,pumpkin cookies,9
50,oatmeal raisin cookies,8
50,toll house cookies,7
50,gingerbread cookies,7
50,molasses cookies,6
50,shortbread cookies,5
51,chocolate cookies,100
51,chocolate chocolate chip cookies,72
51,chocolate chip cookies,71
51,butter cookies,54
51,sugar cookies,45
51,oatmeal cookies,38
51,girl scout cookies,38
51,peanut butter cookies,37
51,christmas cookies,22
51,cake cookies,19
51,word cookies,18
51,how to make cookies,17
51,best cookies,17
51,no bake cookies,16
51,easy cookies,16
51,insomnia cookies,15
51,campus cookies,15
51,enable cookies,11
51,clear cookies,10
53,chocolate cookies,100
53,chocolate chip cookies,73
53,chocolate chocolate chip cookies,73
53,butter cookies,56
53,sugar cookies,47
53,oatmeal cookies,44
53,peanut butter cookies,43
53,no bake cookies,26
53,girl scout cookies,24
53,christmas cookies,16
53,cake cookies,16
53,best cookies,16
53,how to make cookies,13
53,easy cookies,13
53,chocolate chip oatmeal cookies,10
53,pumpkin cookies,10
53,gluten free cookies,10
53,cookies seattle,10
54,butter cookies,86
54,no bake cookies,76
54,peanut butter cookies,72
54,chocolate chip cookies,66
54,sugar cookies,55
54,word cookies,51
54,oatmeal cookies,42
54,girl scout cookies,37
54,christmas cookies,26
54,insomnia cookies,21
54,pumpkin cookies,15
54,cake mix cookies,12
54,word cookies answers,12
54,peanut butter cookies easy,8
54,oatmeal raisin cookies,7
55,chocolate cookies,100
55,chocolate chip cookies,70
55,butter cookies,69
55,chocolate chocolate chip cookies,69
55,peanut butter cookies,58
55,sugar cookies,50
55,oatmeal cookies,41
55,girl scout cookies,40
55,christmas cookies,29
55,cake cookies,19
55,word cookies,18
55,no bake cookies,16
55,easy cookies,16
55,how to make cookies,15
55,insomnia cookies,13
55,chocolate chip oatmeal cookies,10
56,chocolate chip cookies,100
56,sugar cookies,74
56,peanut butter cookies,71
56,oatmeal cookies,62
56,no bake cookies,59
56,girl scout cookies,27
56,christmas cookies,27
56,pumpkin cookies,25
56,eileens cookies,20
56,gingerbread cookies,10
56,shortbread cookies,10
56,pumpkin chocolate chip cookies,7
56,eileens cookies cheyenne,7
